,address,city
0,Fortebakken 4 , 8240 Risskov
1,Rundhøj Allé 7  3. tv , 8270 Højbjerg
2,Runegårdsvej 10 , 8270 Højbjerg
3,Moesgård Allé 20D  1. , 8270 Højbjerg
4,Anker Jensens Vej 9  1. th , 8230 Åbyhøj
5,Engkærgårds Allé 202A , 8340 Malling
6,Brobjerg Parkvej 83  st. tv , 8250 Egå
7,Onsholtgårdsvej 46  st. , 8260 Viby J
8,Åbyvej 157A  1. , 8230 Åbyhøj
9,Gøteborg Allé 5H  st. 1 , 8200 Aarhus N
10,Pilegårdsvej 195  Kolt , 8361 Hasselager
11,Hyrdevænget 19 , 8310 Tranbjerg J
12,Damagervej 4F , 8260 Viby J
13,Årslev Møllevej 39  Årslev , 8220 Brabrand
14,Ormslevvej 70C  1. 2 , 8260 Viby J
15,Damagervej 12C  st. 4 , 8260 Viby J
16,Torvevænget 1A  st. 10 , 8310 Tranbjerg J
17,Frederiks Allé 112  2. , 8000 Aarhus C
18,Vestergade 49A  st. , 8000 Aarhus C
19,Vestervang 28  5. mf , 8000 Aarhus C
20,Bedervej 88 , 8320 Mårslet
21,Lønvejen 12  2. th , 8000 Aarhus C
22,Guldsmedgade 25A  2. th , 8000 Aarhus C
23,Haveforeningen Solvangen 24 , 8230 Åbyhøj

